id,document,topic_id,topic_name,expected_entities,predicted_entities
chunk_109107,Dickau sent to New Orleans The Dallas Mavericks seeking depth at point guard will acquire veteran Darrell Armstrong from New Orleans in a trade for the inexperienced Dan Dickau the Mavs announced Friday,1,the | in | his | at | to,,Dickau:ORG; New Orleans:GPE; Dallas Mavericks:ORG; Darrell Armstrong:PERSON; New Orleans:GPE; Dan Dickau:PERSON; Mavs:ORG; Friday:DATE
chunk_55181,Press Review A Willful Lie Papers across Europe commented on the Iraq Survey Group 39s confirmation that Iraq had no weapons of mass destruction and discussed Elfriede Jelinek winning the Nobel Prize for Literature,23,blair | tony | iraq | bush | war,,Press Review A Willful Lie Papers:ORG; Europe:LOC; the Iraq Survey Group:ORG; 39s:DATE; Iraq:GPE; Elfriede:ORG; Jelinek:PRODUCT; the Nobel Prize for Literature:WORK_OF_ART
chunk_107003,Fergie dismisses Arsenal challenge Manchester United manager Sir Alex Ferguson has raised the stakes ahead of Wednesday night 39s Carling Cup clash with Arsenal by claiming that Chelsea are now the team to beat,1,the | in | his | at | to,,Fergie:ORG; Arsenal:ORG; Manchester United:PERSON; Alex Ferguson:PERSON; Wednesday:DATE; Carling Cup:EVENT; Arsenal:ORG; Chelsea:PERSON
chunk_101445,Dell blade server technology helps Isotrak create infrastructure ltbgtltbgt Johannesburg 22 November 2004 Isotrak a leading UK endtoend logistics solutions provider 2 today announced the successful implementation of Dell PowerEdge blade server technology,0,its | to | on | the | oil,,Dell:PERSON; Isotrak:NORP; Johannesburg:GPE; 22 November 2004:DATE; Isotrak:NORP; UK:GPE; 2:CARDINAL; today:DATE; Dell PowerEdge:ORG
chunk_95738,Worlds biggest digital pic Dutch engineers stitch together hundreds of images to create a photo with 25 billion pixelsltbr gt Photo Giant digital image,0,its | to | on | the | oil,,Dutch:NORP; hundreds:CARDINAL; 25 billion:CARDINAL; Photo Giant:FAC
chunk_115591,Iran optimistic over nuclear negotiations with EU TEHERAN Iran said on Monday it was optimistic ahead of crucial talks with the European Union aimed at striking a longterm accord that would ease concerns over the countrys nuclear programme,9,iran | nuclear | uranium | tehran | enrichment,,Iran:GPE; EU:ORG; Iran:GPE; Monday:DATE; the European Union:ORG
chunk_94131,NetWare holdouts courted by Microsoft open source Microsoft is targeting diehard NetWare customers faced with a looming decision on migrating servers to either to Linux or Windows Server 2003,-1,Outlier / Unclassified,,NetWare:ORG; Microsoft:ORG; Microsoft:ORG; NetWare:NORP; Linux:PERSON; 2003:DATE
chunk_23305,Lazio president chasing 35M from Inter Milan coach Mancini Lazio president Claudio Lotito is considering legal action against Inter Milan coach Roberto Mancini over the way he left the club,1,the | in | his | at | to,,Lazio:PERSON; 35:CARDINAL; Inter Milan:ORG; Mancini Lazio:PERSON; Claudio Lotito:PERSON; Inter Milan:ORG; Roberto Mancini:PERSON
chunk_108887,Bedding Blip Rest Assured Just as you are getting comfortable Select Comforts stock collapses But dont let Mr Markets nightmares scare you away,0,its | to | on | the | oil,,Select Comforts:ORG
chunk_10085,Auckland airport profit up 13 Auckland International Airport has reported a 13 increase in annual net profit buoyed by strong growth in passenger numbers and a 30 increase in international seat capacity,0,its | to | on | the | oil,,Auckland:GPE; 13:CARDINAL; Auckland International Airport:FAC; 13:CARDINAL; annual:DATE; 30:CARDINAL
